Time,Message
25.22034,-0.9
25.22884,-0.9
25.25204,-0.9
25.25578,-0.9
25.26223,-0.9
25.28674,-0.9
25.29307,-0.9
25.31903,-0.9
25.3249,-0.9
25.33156,-0.9
25.35813,-0.9
25.38356,-0.9
25.39117,-0.9
25.39464,-0.9
25.39836,-0.9
25.4205,-0.9
25.42578,-0.9
25.43403,-0.9
25.46095,-0.9
25.46951,-0.9
25.49594,-0.9
25.50466,-0.9
25.52616,-0.9
25.56502,-0.9
25.57356,-0.9
25.62502,-0.9
25.65926,-0.9
25.67908,-0.9
25.68541,-0.9
25.71579,-0.9
25.72503,0
25.75235,0
25.77545,0
25.78006,0
25.78483,0
25.80896,0
25.81377,0
25.83345,0.01
25.85538,0.01
25.86056,0.02
25.86483,0.02
25.86943,0.02
25.88925,0.04
25.89371,0.04
25.89796,0.04
25.92338,0.09
25.93134,0.09
25.93507,0.09
25.9384,0.09
25.96143,0.16
25.96836,0.16
26.01051,0.25
26.01473,0.25
26.02229,0.3
26.05117,0.36
26.0572,0.36
26.08865,0.49
26.09497,0.49
26.12381,0.64
26.13142,0.64
26.15932,0.72
26.16474,0.81
26.19192,0.91
26.19673,0.91
26.20106,1.01
26.23199,1.11
26.23781,1.11
26.25681,1.22
26.26492,1.34
26.27215,1.34
26.29401,1.46
26.29876,1.46
26.30317,1.58
26.30999,1.58
26.3423,1.85
26.36849,1.99
26.37578,1.99
26.37937,1.99
26.38532,2.13
26.42624,2.44
26.45204,2.6
26.50341,3.12
26.51143,3.12
26.53737,3.3
26.54365,3.49
26.55157,3.49
26.57232,3.68
26.57985,3.68
26.58702,3.98
26.60543,4.45
26.64535,5.94
26.65059,5.94
26.67242,6.97
26.67979,6.97
26.68857,8.38
26.71585,9.92
26.74275,13.4
26.74853,13.4
26.78105,17.4
26.79004,17.4
26.81861,19.6
26.85184,24.41
26.85595,24.41
26.86158,27.02
26.88537,29.76
26.89196,29.76
26.89629,29.76
26.90088,32.65
26.92174,35.67
26.94289,38.84
26.96353,42.15
26.96983,42.15
26.97725,42.15
27.00025,49.18
27.0058,49.18
27.01035,49.18
27.02922,52.9
27.07629,60.74
27.08178,64.86
27.10606,69.11
27.16351,82.6
27.18779,87.34
27.22693,97.18
27.25292,102.27
27.25808,102.27
27.26253,107.48
27.26793,107.48
27.29299,112.79
27.29702,112.79
27.32404,123.75
27.34379,129.38
27.36538,135.12
27.37095,135.12
27.37545,135.12
27.41024,146.9
27.43703,152.94
27.45972,159.07
27.48154,171.6
27.48763,171.6
27.49395,171.6
27.51635,178.01
27.52337,184.5
27.52836,184.5
27.54955,191.07
27.55667,191.07
27.56245,197.73
27.58857,204.48
27.61966,211.3
27.63034,218.19
27.66531,232.22
27.6921,239.34
27.69717,239.34
27.70407,246.53
27.73245,253.79
27.73748,253.79
27.76115,268.53
27.76969,268.53
